 ep year mon day hour min sec gx gy gz
347 2019 03 06 05 19 32.138794736 -0.050000 -0.020000 -0.020000
348 2019 03 06 05 19 33.169157434 -0.030000 -0.020000 -0.020000
349 2019 03 06 05 19 34.199359996 -0.050000 -0.030000 -0.020000
350 2019 03 06 05 19 35.230249745 -0.060000 -0.020000 -0.020000
351 2019 03 06 05 19 36.260702020 -0.070000 -0.020000 -0.020000
352 2019 03 06 05 19 37.301390092 -0.060000 -0.020000 -0.010000
353 2019 03 06 05 19 38.331760213 -0.050000 -0.020000 -0.020000
354 2019 03 06 05 19 39.362809031 -0.070000 -0.020000 -0.020000
355 2019 03 06 05 19 40.397251372 -0.050000 -0.020000 -0.020000
356 2019 03 06 05 19 41.427496490 -0.050000 -0.030000 -0.020000
357 2019 03 06 05 19 42.457686157 -0.050000 -0.020000 -0.020000
358 2019 03 06 05 19 43.487806884 -0.050000 -0.020000 -0.010000
359 2019 03 06 05 19 44.517941636 -0.060000 -0.020000 -0.020000
360 2019 03 06 05 19 45.548276502 -0.050000 -0.020000 -0.020000
361 2019 03 06 05 19 46.578411649 -0.050000 -0.040000 -0.020000
362 2019 03 06 05 19 47.608543895 -0.050000 -0.010000 -0.020000
363 2019 03 06 05 19 48.638722458 -0.060000 -0.010000 -0.020000
364 2019 03 06 05 19 49.668971920 -0.050000 -0.010000 -0.020000
365 2019 03 06 05 19 50.699179679 -0.050000 -0.020000 -0.020000
366 2019 03 06 05 19 51.729357246 -0.040000 -0.020000 -0.020000
367 2019 03 06 05 19 52.759530922 -0.060000 -0.030000 -0.020000
368 2019 03 06 05 19 53.789866797 -0.040000 0.000000 -0.010000
369 2019 03 06 05 19 54.820159511 -0.050000 -0.020000 -0.010000
370 2019 03 06 05 19 55.850500364 -0.050000 -0.010000 -0.020000
371 2019 03 06 05 19 56.880714308 -0.040000 -0.020000 -0.020000
372 2019 03 06 05 19 57.910900456 -0.040000 -0.020000 -0.010000
373 2019 03 06 05 19 58.941075213 -0.060000 -0.020000 -0.020000
374 2019 03 06 05 19 59.971382585 -0.070000 -0.020000 -0.020000
375 2019 03 06 05 20 01.001794345 -0.060000 -0.020000 -0.020000
376 2019 03 06 05 20 02.034589602 -0.050000 -0.040000 -0.020000
